T[s]    Sa_X[g]    Sa_X[m/s2]
0.000    0.1361    1.3349
0.010    0.1384    1.3579
0.020    0.1428    1.4011
0.030    0.1485    1.4569
0.040    0.1552    1.5225
0.050    0.1627    1.5964
0.060    0.1710    1.6773
0.070    0.1798    1.7643
0.080    0.1892    1.8563
0.090    0.1991    1.9527
0.100    0.2092    2.0526
0.110    0.2197    2.1552
0.120    0.2303    2.2597
0.130    0.2411    2.3654
0.140    0.2519    2.4714
0.150    0.2627    2.5770
0.160    0.2733    2.6814
0.170    0.2838    2.7839
0.180    0.2940    2.8838
0.190    0.2975    2.9188
0.200    0.2975    2.9188
0.210    0.2975    2.9188
0.220    0.2975    2.9188
0.230    0.2975    2.9188
0.240    0.2975    2.9188
0.250    0.2975    2.9188
0.260    0.2975    2.9188
0.270    0.2975    2.9188
0.280    0.2975    2.9188
0.290    0.2975    2.9188
0.300    0.2975    2.9188
0.310    0.2975    2.9188
0.320    0.2975    2.9188
0.330    0.2975    2.9188
0.340    0.2975    2.9188
0.350    0.2975    2.9188
0.360    0.2975    2.9188
0.370    0.2975    2.9188
0.380    0.2975    2.9188
0.390    0.2975    2.9188
0.400    0.2975    2.9188
0.410    0.2975    2.9188
0.420    0.2975    2.9188
0.430    0.2975    2.9188
0.440    0.2975    2.9188
0.450    0.2975    2.9188
0.460    0.2975    2.9188
0.470    0.2975    2.9188
0.480    0.2975    2.9188
0.490    0.2975    2.9188
0.500    0.2975    2.9188
0.510    0.2975    2.9188
0.520    0.2975    2.9188
0.530    0.2975    2.9188
0.540    0.2975    2.9188
0.550    0.2975    2.9188
0.560    0.2975    2.9188
0.570    0.2975    2.9188
0.580    0.2975    2.9188
0.590    0.2928    2.8722
0.600    0.2881    2.8260
0.610    0.2834    2.7803
0.620    0.2788    2.7350
0.630    0.2742    2.6903
0.640    0.2697    2.6462
0.650    0.2653    2.6027
0.660    0.2609    2.5599
0.670    0.2566    2.5177
0.680    0.2524    2.4762
0.690    0.2483    2.4355
0.700    0.2442    2.3954
0.710    0.2402    2.3561
0.720    0.2362    2.3175
0.730    0.2324    2.2797
0.740    0.2286    2.2425
0.750    0.2249    2.2062
0.760    0.2213    2.1705
0.770    0.2177    2.1356
0.780    0.2142    2.1014
0.790    0.2108    2.0679
0.800    0.2074    2.0351
0.810    0.2042    2.0030
0.820    0.2010    1.9715
0.830    0.1978    1.9408
0.840    0.1948    1.9106
0.850    0.1918    1.8812
0.860    0.1888    1.8523
0.870    0.1859    1.8241
0.880    0.1831    1.7965
0.890    0.1804    1.7695
0.900    0.1777    1.7430
0.910    0.1750    1.7172
0.920    0.1725    1.6918
0.930    0.1699    1.6671
0.940    0.1675    1.6428
0.950    0.1650    1.6191
0.960    0.1627    1.5959
0.970    0.1604    1.5731
0.980    0.1581    1.5509
0.990    0.1559    1.5291
1.000    0.1537    1.5078
1.010    0.1516    1.4869
1.020    0.1495    1.4664
1.030    0.1474    1.4464
1.040    0.1454    1.4268
1.050    0.1435    1.4076
1.060    0.1416    1.3888
1.070    0.1397    1.3704
1.080    0.1379    1.3523
1.090    0.1361    1.3347
1.100    0.1343    1.3173
1.110    0.1326    1.3004
1.120    0.1309    1.2837
1.130    0.1292    1.2674
1.140    0.1276    1.2514
1.150    0.1260    1.2358
1.160    0.1244    1.2204
1.170    0.1229    1.2053
1.180    0.1214    1.1905
1.190    0.1199    1.1760
1.200    0.1184    1.1618
1.210    0.1170    1.1479
1.220    0.1156    1.1342
1.230    0.1142    1.1208
1.240    0.1129    1.1076
1.250    0.1116    1.0947
1.260    0.1103    1.0820
1.270    0.1103    1.0816
1.280    0.1103    1.0816
1.290    0.1103    1.0816
1.300    0.1103    1.0816
1.310    0.1103    1.0816
1.320    0.1103    1.0816
1.330    0.1103    1.0816
1.340    0.1103    1.0816
1.350    0.1103    1.0816
1.360    0.1103    1.0816
1.370    0.1103    1.0816
1.380    0.1103    1.0816
1.390    0.1103    1.0816
1.400    0.1103    1.0816
1.410    0.1103    1.0816
1.420    0.1103    1.0816
1.430    0.1103    1.0816
1.440    0.1103    1.0816
1.450    0.1103    1.0816
1.460    0.1103    1.0816
1.470    0.1103    1.0816
1.480    0.1103    1.0816
1.490    0.1103    1.0816
1.500    0.1103    1.0816
1.510    0.1103    1.0816
1.520    0.1103    1.0816
1.530    0.1103    1.0816
1.540    0.1103    1.0816
1.550    0.1103    1.0816
1.560    0.1103    1.0816
1.570    0.1103    1.0816
1.580    0.1103    1.0816
1.590    0.1103    1.0816
1.600    0.1103    1.0816
1.610    0.1103    1.0816
1.620    0.1103    1.0816
1.630    0.1103    1.0816
1.640    0.1103    1.0816
1.650    0.1103    1.0816
1.660    0.1103    1.0816
1.670    0.1103    1.0816
1.680    0.1103    1.0816
1.690    0.1103    1.0816
1.700    0.1103    1.0816
1.710    0.1103    1.0816
1.720    0.1103    1.0816
1.730    0.1103    1.0816
1.740    0.1103    1.0816
1.750    0.1103    1.0816
1.760    0.1103    1.0816
1.770    0.1103    1.0816
1.780    0.1103    1.0816
1.790    0.1103    1.0816
1.800    0.1103    1.0816
1.810    0.1103    1.0816
1.820    0.1103    1.0816
1.830    0.1103    1.0816
1.840    0.1103    1.0816
1.850    0.1103    1.0816
1.860    0.1103    1.0816
1.870    0.1103    1.0816
1.880    0.1103    1.0816
1.890    0.1103    1.0816
1.900    0.1103    1.0816
1.910    0.1103    1.0816
1.920    0.1103    1.0816
1.930    0.1103    1.0816
1.940    0.1103    1.0816
1.950    0.1103    1.0816
1.960    0.1103    1.0816
1.970    0.1103    1.0816
1.980    0.1103    1.0816
1.990    0.1103    1.0816
2.000    0.1103    1.0816
2.010    0.1103    1.0816
2.020    0.1103    1.0816
2.030    0.1103    1.0816
2.040    0.1103    1.0816
2.050    0.1103    1.0816
2.060    0.1103    1.0816
2.070    0.1103    1.0816
2.080    0.1103    1.0816
2.090    0.1103    1.0816
2.100    0.1103    1.0816
2.110    0.1103    1.0816
2.120    0.1103    1.0816
2.130    0.1103    1.0816
2.140    0.1103    1.0816
2.150    0.1103    1.0816
2.160    0.1103    1.0816
2.170    0.1103    1.0816
2.180    0.1103    1.0816
2.190    0.1103    1.0816
2.200    0.1103    1.0816
2.210    0.1103    1.0816
2.220    0.1103    1.0816
2.230    0.1103    1.0816
2.240    0.1103    1.0816
2.250    0.1103    1.0816
2.260    0.1103    1.0816
2.270    0.1103    1.0816
2.280    0.1103    1.0816
2.290    0.1103    1.0816
2.300    0.1103    1.0816
2.310    0.1103    1.0816
2.320    0.1103    1.0816
2.330    0.1103    1.0816
2.340    0.1103    1.0816
2.350    0.1103    1.0816
2.360    0.1103    1.0816
2.370    0.1103    1.0816
2.380    0.1103    1.0816
2.390    0.1103    1.0816
2.400    0.1103    1.0816
2.410    0.1103    1.0816
2.420    0.1103    1.0816
2.430    0.1103    1.0816
2.440    0.1103    1.0816
2.450    0.1103    1.0816
2.460    0.1103    1.0816
2.470    0.1103    1.0816
2.480    0.1103    1.0816
2.490    0.1103    1.0816
2.500    0.1103    1.0816
2.510    0.1103    1.0816
2.520    0.1103    1.0816
2.530    0.1103    1.0816
2.540    0.1103    1.0816
2.550    0.1103    1.0816
2.560    0.1103    1.0816
2.570    0.1103    1.0816
2.580    0.1103    1.0816
2.590    0.1103    1.0816
2.600    0.1103    1.0816
2.610    0.1103    1.0816
2.620    0.1103    1.0816
2.630    0.1103    1.0816
2.640    0.1103    1.0816
2.650    0.1103    1.0816
2.660    0.1103    1.0816
2.670    0.1103    1.0816
2.680    0.1103    1.0816
2.690    0.1103    1.0816
2.700    0.1103    1.0816
2.710    0.1103    1.0816
2.720    0.1103    1.0816
2.730    0.1103    1.0816
2.740    0.1103    1.0816
2.750    0.1103    1.0816
2.760    0.1103    1.0816
2.770    0.1103    1.0816
2.780    0.1103    1.0816
2.790    0.1103    1.0816
2.800    0.1103    1.0816
2.810    0.1103    1.0816
2.820    0.1103    1.0816
2.830    0.1103    1.0816
2.840    0.1103    1.0816
2.850    0.1103    1.0816
2.860    0.1103    1.0816
2.870    0.1103    1.0816
2.880    0.1103    1.0816
2.890    0.1103    1.0816
2.900    0.1103    1.0816
2.910    0.1103    1.0816
2.920    0.1103    1.0816
2.930    0.1103    1.0816
2.940    0.1103    1.0816
2.950    0.1103    1.0816
2.960    0.1103    1.0816
2.970    0.1103    1.0816
2.980    0.1103    1.0816
2.990    0.1103    1.0816
3.000    0.1103    1.0816
3.010    0.1103    1.0816
3.020    0.1103    1.0816
3.030    0.1103    1.0816
3.040    0.1103    1.0816
3.050    0.1103    1.0816
3.060    0.1103    1.0816
3.070    0.1103    1.0816
3.080    0.1103    1.0816
3.090    0.1103    1.0816
3.100    0.1103    1.0816
3.110    0.1103    1.0816
3.120    0.1103    1.0816
3.130    0.1103    1.0816
3.140    0.1103    1.0816
3.150    0.1103    1.0816
3.160    0.1103    1.0816
3.170    0.1103    1.0816
3.180    0.1103    1.0816
3.190    0.1103    1.0816
3.200    0.1103    1.0816
3.210    0.1103    1.0816
3.220    0.1103    1.0816
3.230    0.1103    1.0816
3.240    0.1103    1.0816
3.250    0.1103    1.0816
3.260    0.1103    1.0816
3.270    0.1103    1.0816
3.280    0.1103    1.0816
3.290    0.1103    1.0816
3.300    0.1103    1.0816
3.310    0.1103    1.0816
3.320    0.1103    1.0816
3.330    0.1103    1.0816
3.340    0.1103    1.0816
3.350    0.1103    1.0816
3.360    0.1103    1.0816
3.370    0.1103    1.0816
3.380    0.1103    1.0816
3.390    0.1103    1.0816
3.400    0.1103    1.0816
3.410    0.1103    1.0816
3.420    0.1103    1.0816
3.430    0.1103    1.0816
3.440    0.1103    1.0816
3.450    0.1103    1.0816
3.460    0.1103    1.0816
3.470    0.1103    1.0816
3.480    0.1103    1.0816
3.490    0.1103    1.0816
3.500    0.1103    1.0816
3.510    0.1103    1.0816
3.520    0.1103    1.0816
3.530    0.1103    1.0816
3.540    0.1103    1.0816
3.550    0.1103    1.0816
3.560    0.1103    1.0816
3.570    0.1103    1.0816
3.580    0.1103    1.0816
3.590    0.1103    1.0816
3.600    0.1103    1.0816
3.610    0.1103    1.0816
3.620    0.1103    1.0816
3.630    0.1103    1.0816
3.640    0.1103    1.0816
3.650    0.1103    1.0816
3.660    0.1103    1.0816
3.670    0.1103    1.0816
3.680    0.1103    1.0816
3.690    0.1103    1.0816
3.700    0.1103    1.0816
3.710    0.1103    1.0816
3.720    0.1103    1.0816
3.730    0.1103    1.0816
3.740    0.1103    1.0816
3.750    0.1103    1.0816
3.760    0.1103    1.0816
3.770    0.1103    1.0816
3.780    0.1103    1.0816
3.790    0.1103    1.0816
3.800    0.1103    1.0816
3.810    0.1103    1.0816
3.820    0.1103    1.0816
3.830    0.1103    1.0816
3.840    0.1103    1.0816
3.850    0.1103    1.0816
3.860    0.1103    1.0816
3.870    0.1103    1.0816
3.880    0.1103    1.0816
3.890    0.1103    1.0816
3.900    0.1103    1.0816
3.910    0.1103    1.0816
3.920    0.1103    1.0816
3.930    0.1103    1.0816
3.940    0.1103    1.0816
3.950    0.1103    1.0816
3.960    0.1103    1.0816
3.970    0.1103    1.0816
3.980    0.1103    1.0816
3.990    0.1103    1.0816
4.000    0.1103    1.0816
4.010    0.1103    1.0816
4.020    0.1103    1.0816
4.030    0.1103    1.0816
4.040    0.1103    1.0816
4.050    0.1103    1.0816
4.060    0.1103    1.0816
4.070    0.1103    1.0816
4.080    0.1103    1.0816
4.090    0.1103    1.0816
4.100    0.1103    1.0816
4.110    0.1103    1.0816
4.120    0.1103    1.0816
4.130    0.1103    1.0816
4.140    0.1103    1.0816
4.150    0.1103    1.0816
4.160    0.1103    1.0816
4.170    0.1103    1.0816
4.180    0.1103    1.0816
4.190    0.1103    1.0816
4.200    0.1103    1.0816
4.210    0.1103    1.0816
4.220    0.1103    1.0816
4.230    0.1103    1.0816
4.240    0.1103    1.0816
4.250    0.1103    1.0816
4.260    0.1103    1.0816
