T[s]    ISaH[g]    ISaH[m/s2]
0.000    0.4412    4.3286
0.010    0.4488    4.4031
0.020    0.4631    4.5433
0.030    0.4816    4.7241
0.040    0.5033    4.9369
0.050    0.5277    5.1765
0.060    0.5544    5.4388
0.070    0.5832    5.7208
0.080    0.6136    6.0193
0.090    0.6454    6.3318
0.100    0.6785    6.6557
0.110    0.7124    6.9884
0.120    0.7469    7.3273
0.130    0.7818    7.6699
0.140    0.8169    8.0137
0.150    0.8518    8.3562
0.160    0.8863    8.6948
0.170    0.9202    9.0271
0.180    0.9532    9.3509
0.190    0.9851    9.6638
0.200    1.0157    9.9637
0.210    1.0447    10.2488
0.220    1.0721    10.5172
0.230    1.0976    10.7675
0.240    1.1211    10.9984
0.250    1.1426    11.2089
0.260    1.1619    11.3981
0.270    1.1790    11.5656
0.280    1.1938    11.7110
0.290    1.2063    11.8343
0.300    1.2167    11.9357
0.310    1.2248    12.0155
0.320    1.2308    12.0743
0.330    1.2347    12.1128
0.340    1.2367    12.1320
0.350    1.2368    12.1326
0.360    1.2350    12.1158
0.370    1.2317    12.0827
0.380    1.2268    12.0344
0.390    1.2204    11.9722
0.400    1.2127    11.8971
0.410    1.2039    11.8103
0.420    1.1940    11.7130
0.430    1.1831    11.6063
0.440    1.1714    11.4913
0.450    1.1589    11.3689
0.460    1.1458    11.2401
0.470    1.1321    11.1058
0.480    1.1179    10.9668
0.490    1.1034    10.8240
0.500    1.0885    10.6780
0.510    1.0733    10.5295
0.520    1.0580    10.3792
0.530    1.0426    10.2274
0.540    1.0270    10.0749
0.550    1.0114    9.9219
0.560    0.9958    9.7689
0.570    0.9803    9.6163
0.580    0.9648    9.4644
0.590    0.9494    9.3134
0.600    0.9341    9.1637
0.610    0.9190    9.0153
0.620    0.9040    8.8686
0.630    0.8893    8.7236
0.640    0.8747    8.5806
0.650    0.8603    8.4395
0.660    0.8461    8.3006
0.670    0.8322    8.1638
0.680    0.8185    8.0293
0.690    0.8050    7.8971
0.700    0.7918    7.7673
0.710    0.7788    7.6398
0.720    0.7660    7.5147
0.730    0.7535    7.3920
0.740    0.7412    7.2716
0.750    0.7292    7.1537
0.760    0.7174    7.0381
0.770    0.7059    6.9248
0.780    0.6946    6.8139
0.790    0.6835    6.7052
0.800    0.6727    6.5989
0.810    0.6621    6.4947
0.820    0.6517    6.3928
0.830    0.6415    6.2930
0.840    0.6315    6.1954
0.850    0.6218    6.0998
0.860    0.6123    6.0063
0.870    0.6029    5.9148
0.880    0.5938    5.8253
0.890    0.5849    5.7376
0.900    0.5761    5.6519
0.910    0.5676    5.5680
0.920    0.5592    5.4859
0.930    0.5510    5.4056
0.940    0.5430    5.3269
0.950    0.5352    5.2500
0.960    0.5275    5.1747
0.970    0.5200    5.1010
0.980    0.5126    5.0288
0.990    0.5054    4.9582
1.000    0.4984    4.8890
1.010    0.4915    4.8213
1.020    0.4847    4.7550
1.030    0.4781    4.6901
1.040    0.4716    4.6266
1.050    0.4653    4.5643
1.060    0.4591    4.5033
1.070    0.4530    4.4436
1.080    0.4470    4.3851
1.090    0.4412    4.3278
1.100    0.4354    4.2716
1.110    0.4298    4.2165
1.120    0.4243    4.1626
1.130    0.4189    4.1097
1.140    0.4136    4.0578
1.150    0.4085    4.0070
1.160    0.4034    3.9572
1.170    0.3984    3.9083
1.180    0.3935    3.8604
1.190    0.3887    3.8134
1.200    0.3840    3.7673
1.210    0.3794    3.7221
1.220    0.3749    3.6777
1.230    0.3705    3.6342
1.240    0.3661    3.5915
1.250    0.3618    3.5495
1.260    0.3576    3.5084
1.270    0.3535    3.4680
1.280    0.3495    3.4283
1.290    0.3455    3.3894
1.300    0.3416    3.3511
1.310    0.3378    3.3136
1.320    0.3340    3.2767
1.330    0.3303    3.2405
1.340    0.3267    3.2049
1.350    0.3231    3.1699
1.360    0.3196    3.1356
1.370    0.3162    3.1018
1.380    0.3128    3.0687
1.390    0.3095    3.0360
1.400    0.3062    3.0040
1.410    0.3030    2.9725
1.420    0.2998    2.9415
1.430    0.2967    2.9111
1.440    0.2937    2.8811
1.450    0.2907    2.8517
1.460    0.2877    2.8227
1.470    0.2848    2.7942
1.480    0.2820    2.7662
1.490    0.2792    2.7386
1.500    0.2764    2.7115
1.510    0.2737    2.6848
1.520    0.2710    2.6585
1.530    0.2684    2.6327
1.540    0.2658    2.6072
1.550    0.2632    2.5822
1.560    0.2607    2.5575
1.570    0.2582    2.5332
1.580    0.2558    2.5093
1.590    0.2534    2.4858
1.600    0.2510    2.4626
1.610    0.2487    2.4398
1.620    0.2464    2.4173
1.630    0.2442    2.3952
1.640    0.2419    2.3733
1.650    0.2397    2.3519
1.660    0.2376    2.3307
1.670    0.2355    2.3098
1.680    0.2334    2.2893
1.690    0.2313    2.2690
1.700    0.2293    2.2490
1.710    0.2273    2.2293
1.720    0.2253    2.2099
1.730    0.2233    2.1908
1.740    0.2214    2.1720
1.750    0.2195    2.1534
1.760    0.2176    2.1350
1.770    0.2158    2.1170
1.780    0.2140    2.0991
1.790    0.2122    2.0816
1.800    0.2104    2.0642
1.810    0.2087    2.0471
1.820    0.2070    2.0302
1.830    0.2053    2.0136
1.840    0.2036    1.9972
1.850    0.2019    1.9810
1.860    0.2003    1.9650
1.870    0.1987    1.9492
1.880    0.1971    1.9337
1.890    0.1955    1.9183
1.900    0.1940    1.9031
1.910    0.1925    1.8882
1.920    0.1910    1.8734
1.930    0.1895    1.8588
1.940    0.1880    1.8444
1.950    0.1866    1.8302
1.960    0.1851    1.8162
1.970    0.1837    1.8023
1.980    0.1823    1.7886
1.990    0.1810    1.7751
2.000    0.1796    1.7618
2.010    0.1782    1.7486
2.020    0.1769    1.7356
2.030    0.1756    1.7227
2.040    0.1743    1.7100
2.050    0.1730    1.6975
2.060    0.1718    1.6851
2.070    0.1705    1.6728
2.080    0.1693    1.6607
2.090    0.1681    1.6488
2.100    0.1669    1.6370
2.110    0.1657    1.6253
2.120    0.1645    1.6138
2.130    0.1633    1.6024
2.140    0.1622    1.5911
2.150    0.1611    1.5799
2.160    0.1599    1.5689
2.170    0.1588    1.5580
2.180    0.1577    1.5473
2.190    0.1566    1.5366
2.200    0.1556    1.5261
2.210    0.1545    1.5157
2.220    0.1535    1.5055
2.230    0.1524    1.4953
2.240    0.1514    1.4852
2.250    0.1504    1.4753
2.260    0.1494    1.4655
2.270    0.1484    1.4557
2.280    0.1474    1.4461
2.290    0.1464    1.4366
2.300    0.1455    1.4272
2.310    0.1445    1.4179
2.320    0.1436    1.4087
2.330    0.1427    1.3996
2.340    0.1417    1.3906
2.350    0.1408    1.3816
2.360    0.1399    1.3728
2.370    0.1391    1.3641
2.380    0.1382    1.3555
2.390    0.1373    1.3469
2.400    0.1364    1.3385
2.410    0.1356    1.3301
2.420    0.1347    1.3218
2.430    0.1339    1.3136
2.440    0.1331    1.3055
2.450    0.1323    1.2975
2.460    0.1314    1.2895
2.470    0.1306    1.2816
2.480    0.1299    1.2739
2.490    0.1291    1.2661
2.500    0.1283    1.2585
2.510    0.1275    1.2510
2.520    0.1268    1.2435
2.530    0.1260    1.2361
2.540    0.1253    1.2287
2.550    0.1245    1.2215
2.560    0.1238    1.2143
2.570    0.1231    1.2072
2.580    0.1223    1.2001
2.590    0.1216    1.1931
2.600    0.1209    1.1862
2.610    0.1202    1.1793
2.620    0.1195    1.1726
2.630    0.1188    1.1658
2.640    0.1182    1.1592
2.650    0.1175    1.1526
2.660    0.1168    1.1461
2.670    0.1162    1.1396
2.680    0.1155    1.1332
2.690    0.1149    1.1268
2.700    0.1142    1.1205
2.710    0.1136    1.1143
2.720    0.1130    1.1081
2.730    0.1123    1.1020
2.740    0.1117    1.0959
2.750    0.1111    1.0899
2.760    0.1105    1.0840
2.770    0.1099    1.0781
2.780    0.1093    1.0722
2.790    0.1087    1.0664
2.800    0.1081    1.0607
2.810    0.1075    1.0550
2.820    0.1070    1.0494
2.830    0.1064    1.0438
2.840    0.1058    1.0382
2.850    0.1053    1.0327
2.860    0.1047    1.0273
2.870    0.1042    1.0219
2.880    0.1036    1.0165
2.890    0.1031    1.0112
2.900    0.1025    1.0060
2.910    0.1020    1.0008
2.920    0.1015    0.9956
2.930    0.1010    0.9905
2.940    0.1004    0.9854
2.950    0.0999    0.9804
2.960    0.0994    0.9754
2.970    0.0989    0.9704
2.980    0.0984    0.9655
2.990    0.0979    0.9606
3.000    0.0974    0.9558
3.010    0.0969    0.9510
3.020    0.0965    0.9463
3.030    0.0960    0.9416
3.040    0.0955    0.9369
3.050    0.0950    0.9323
3.060    0.0946    0.9277
3.070    0.0941    0.9231
3.080    0.0936    0.9186
3.090    0.0932    0.9141
3.100    0.0927    0.9097
3.110    0.0923    0.9053
3.120    0.0918    0.9009
3.130    0.0914    0.8966
3.140    0.0910    0.8922
3.150    0.0905    0.8880
3.160    0.0901    0.8837
3.170    0.0897    0.8795
3.180    0.0892    0.8754
3.190    0.0888    0.8712
3.200    0.0884    0.8671
3.210    0.0880    0.8631
3.220    0.0876    0.8590
3.230    0.0872    0.8550
3.240    0.0868    0.8510
3.250    0.0863    0.8471
3.260    0.0859    0.8432
3.270    0.0856    0.8393
3.280    0.0852    0.8354
3.290    0.0848    0.8316
3.300    0.0844    0.8278
3.310    0.0840    0.8240
3.320    0.0836    0.8203
3.330    0.0832    0.8166
3.340    0.0829    0.8129
3.350    0.0825    0.8092
3.360    0.0821    0.8056
3.370    0.0818    0.8020
3.380    0.0814    0.7984
3.390    0.0810    0.7949
3.400    0.0807    0.7913
3.410    0.0803    0.7878
3.420    0.0800    0.7844
3.430    0.0796    0.7809
3.440    0.0793    0.7775
3.450    0.0789    0.7741
3.460    0.0786    0.7707
3.470    0.0782    0.7674
3.480    0.0779    0.7641
3.490    0.0775    0.7608
3.500    0.0772    0.7575
3.510    0.0769    0.7542
3.520    0.0766    0.7510
3.530    0.0762    0.7478
3.540    0.0759    0.7446
3.550    0.0756    0.7414
3.560    0.0753    0.7383
3.570    0.0749    0.7352
3.580    0.0746    0.7321
3.590    0.0743    0.7290
3.600    0.0740    0.7260
3.610    0.0737    0.7229
3.620    0.0734    0.7199
3.630    0.0731    0.7169
3.640    0.0728    0.7140
3.650    0.0725    0.7110
3.660    0.0722    0.7081
3.670    0.0719    0.7052
3.680    0.0716    0.7023
3.690    0.0713    0.6994
3.700    0.0710    0.6966
3.710    0.0707    0.6938
3.720    0.0704    0.6909
3.730    0.0701    0.6882
3.740    0.0699    0.6854
3.750    0.0696    0.6826
3.760    0.0693    0.6799
3.770    0.0690    0.6772
3.780    0.0688    0.6745
3.790    0.0685    0.6718
3.800    0.0682    0.6691
3.810    0.0679    0.6665
3.820    0.0677    0.6639
3.830    0.0674    0.6612
3.840    0.0671    0.6587
3.850    0.0669    0.6561
3.860    0.0666    0.6535
3.870    0.0664    0.6510
3.880    0.0661    0.6484
3.890    0.0658    0.6459
3.900    0.0656    0.6434
3.910    0.0653    0.6410
3.920    0.0651    0.6385
3.930    0.0648    0.6360
3.940    0.0646    0.6336
3.950    0.0643    0.6312
3.960    0.0641    0.6288
3.970    0.0639    0.6264
3.980    0.0636    0.6240
3.990    0.0634    0.6217
4.000    0.0631    0.6193
4.010    0.0629    0.6170
4.020    0.0627    0.6147
4.030    0.0624    0.6124
4.040    0.0622    0.6101
4.050    0.0620    0.6078
4.060    0.0617    0.6056
4.070    0.0615    0.6034
4.080    0.0613    0.6011
4.090    0.0611    0.5989
4.100    0.0608    0.5967
4.110    0.0606    0.5945
4.120    0.0604    0.5923
4.130    0.0602    0.5902
4.140    0.0599    0.5880
4.150    0.0597    0.5859
4.160    0.0595    0.5838
4.170    0.0593    0.5817
4.180    0.0591    0.5796
4.190    0.0589    0.5775
4.200    0.0587    0.5754
4.210    0.0584    0.5734
4.220    0.0582    0.5713
4.230    0.0580    0.5693
4.240    0.0578    0.5673
4.250    0.0576    0.5653
4.260    0.0574    0.5633
4.270    0.0572    0.5613
4.280    0.0570    0.5593
4.290    0.0568    0.5573
4.300    0.0566    0.5554
4.310    0.0564    0.5534
4.320    0.0562    0.5515
4.330    0.0560    0.5496
4.340    0.0558    0.5477
4.350    0.0556    0.5458
4.360    0.0554    0.5439
4.370    0.0553    0.5420
4.380    0.0551    0.5402
4.390    0.0549    0.5383
4.400    0.0547    0.5365
4.410    0.0545    0.5346
4.420    0.0543    0.5328
4.430    0.0541    0.5310
4.440    0.0539    0.5292
4.450    0.0538    0.5274
4.460    0.0536    0.5256
4.470    0.0534    0.5239
4.480    0.0532    0.5221
4.490    0.0530    0.5203
4.500    0.0529    0.5186
4.510    0.0527    0.5169
4.520    0.0525    0.5152
4.530    0.0523    0.5134
4.540    0.0522    0.5117
4.550    0.0520    0.5100
4.560    0.0518    0.5084
4.570    0.0516    0.5067
4.580    0.0515    0.5050
4.590    0.0513    0.5034
4.600    0.0511    0.5017
4.610    0.0510    0.5001
4.620    0.0508    0.4984
4.630    0.0506    0.4968
4.640    0.0505    0.4952
4.650    0.0503    0.4936
4.660    0.0502    0.4920
4.670    0.0500    0.4904
4.680    0.0498    0.4888
4.690    0.0497    0.4873
4.700    0.0495    0.4857
4.710    0.0494    0.4842
4.720    0.0492    0.4826
4.730    0.0490    0.4811
4.740    0.0489    0.4796
4.750    0.0487    0.4780
4.760    0.0486    0.4765
4.770    0.0484    0.4750
4.780    0.0483    0.4735
4.790    0.0481    0.4720
4.800    0.0480    0.4706
4.810    0.0478    0.4691
4.820    0.0477    0.4676
4.830    0.0475    0.4662
4.840    0.0474    0.4647
4.850    0.0472    0.4633
4.860    0.0471    0.4618
4.870    0.0469    0.4604
4.880    0.0468    0.4590
4.890    0.0466    0.4576
4.900    0.0465    0.4562
4.910    0.0464    0.4548
4.920    0.0462    0.4534
4.930    0.0461    0.4520
4.940    0.0459    0.4506
4.950    0.0458    0.4492
4.960    0.0457    0.4479
4.970    0.0455    0.4465
4.980    0.0454    0.4452
4.990    0.0452    0.4438
5.000    0.0451    0.4425
